ds_name,elapsed,threshold,uniqie_pairs_sim_docs,workers
nfcorpus,361.1389148235321,0.5,65,1
nfcorpus,314.49942088127136,0.5,65,2
nfcorpus,227.5411353111267,0.5,65,3
nfcorpus,265.8835051059723,0.5,65,4
nfcorpus,270.43153834342957,0.5,65,5
nfcorpus,258.9805998802185,0.5,65,6
nfcorpus,248.86719822883606,0.5,65,7
nfcorpus,257.99444103240967,0.5,65,8
nfcorpus,222.43670535087585,0.5,65,9
nfcorpus,251.59413409233093,0.5,65,10
nfcorpus,250.79823875427246,0.6,18,1
nfcorpus,185.84669756889343,0.6,18,2
nfcorpus,192.27141642570496,0.6,18,3
nfcorpus,168.06806540489197,0.6,18,4
nfcorpus,159.7020070552826,0.6,18,5
nfcorpus,174.03083658218384,0.6,18,6
nfcorpus,174.0172164440155,0.6,18,7
nfcorpus,171.59026050567627,0.6,18,8
nfcorpus,178.15018701553345,0.6,18,9
nfcorpus,164.74818444252014,0.6,18,10
nfcorpus,202.6171088218689,0.7,7,1
nfcorpus,166.9405219554901,0.7,7,2
nfcorpus,131.8988733291626,0.7,7,3
nfcorpus,141.94989013671875,0.7,7,4
nfcorpus,116.83024716377258,0.7,7,5
nfcorpus,146.12452793121338,0.7,7,6
nfcorpus,128.56204462051392,0.7,7,7
nfcorpus,135.93915605545044,0.7,7,8
nfcorpus,131.0538673400879,0.7,7,9
nfcorpus,129.60810899734497,0.7,7,10
nfcorpus,136.64326333999634,0.8,5,1
nfcorpus,92.87762713432312,0.8,5,2
nfcorpus,109.61534976959229,0.8,5,3
nfcorpus,106.24497294425964,0.8,5,4
nfcorpus,99.38828086853027,0.8,5,5
nfcorpus,85.46732139587402,0.8,5,6
nfcorpus,95.33228039741516,0.8,5,7
nfcorpus,87.87929105758667,0.8,5,8
nfcorpus,91.19196557998657,0.8,5,9
nfcorpus,103.86817073822021,0.8,5,10
nfcorpus,109.71500873565674,0.9,5,1
nfcorpus,81.73874711990356,0.9,5,2
nfcorpus,58.977288246154785,0.9,5,3
nfcorpus,67.56276178359985,0.9,5,4
nfcorpus,57.051981687545776,0.9,5,5
nfcorpus,82.20200705528259,0.9,5,6
nfcorpus,78.70260310173035,0.9,5,7
nfcorpus,72.97554111480713,0.9,5,8
nfcorpus,75.93769240379333,0.9,5,9
nfcorpus,82.17163419723511,0.9,5,10
